Figure 2. Top panel.
--------------------

R/Rvir      rho/rho_bar   
------      -----------
1.00   	       20.0
1.01519	       18.67499    third blue curve from bottom
1.08917	       16.92879
1.18928	       15.34515
1.29858	       13.57307
1.41793	       12.15358
1.57019	       10.74966
1.72055	       9.62536
1.89861	       8.61848
2.05135	       7.71736
2.24777	       6.82609
2.48916	       6.26354
2.72751	       5.54017
2.95733	       5.08388
3.18404	       4.72275
3.47669	       4.28095
3.74322	       4.02586
4.00191	       3.69443       blended
4.33913	       3.47423
4.72132	       3.18806
5.08327	       2.99810
5.47297	       2.81945
5.97605	       2.65135
6.43419	       2.49337
6.95792		2.47184
7.90692		2.20068
9.07439		2.03575
10.21130	1.88349
11.71903	1.74234
13.18728	1.61203
15.13474	1.54955
17.36942	1.43342
19.93449	1.37787
22.21238	1.27492
25.49318	1.27346
29.25793	1.22411
33.24986	1.17677
38.16009	1.13116
43.79546	1.08733
49.77296	1.12866
56.56275	1.04416
64.28148	1.04305
73.05352	1.04194
83.84184	1.00156

